mode,seed,split,setting,R,gamma,p,C,kappa,true_permanence_hold,failure,final_corr_sa,mean_corr_sa,mean_adversary_concealment,final_adversary_concealment,mean_adversary_fitness,adversary_extinct,mean_adversary_share,caught_events,false_positive_events,steps_run
strategic,4126,heldout,r09,6.5,0.0,0.0,0.0,0.0,0,1,-1.0,-0.7142857142857143,1.0,1.0,1.156860811276698,0,0.9143930816502336,0,0,77
strategic,4127,heldout,r09,6.5,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.5675675675675675,1.0,1.0,1.1559945976322574,0,0.9189530155050044,0,0,74
strategic,4128,heldout,r09,6.5,0.0,0.0,0.0,0.0,0,1,-1.0,-0.40476190476190477,1.0,1.0,1.1541163062390032,0,0.9087846933077944,0,0,84
strategic,4129,heldout,r09,6.5,0.0,0.0,0.0,0.0,0,1,-1.0,-0.48148148148148145,1.0,1.0,1.1573090214680783,0,0.9124309891226849,0,0,81
passive_control,4100,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.3793103448275862,0.0,0.0,1.108094917211538,0,0.9100820546642001,0,0,29
passive_control,4101,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1591596906678912,0,0.8980184411284075,0,0,12
passive_control,4102,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,1.0,0.0,0.0,1.1212787517031082,0,0.8504339272209255,0,0,24
passive_control,4103,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,0.9333333333333333,0.0,0.0,1.1221255832018795,0,0.8811403350171647,0,0,30
passive_control,4104,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,0.9999999999999998,0.0,0.0,1.1511804121753337,0,0.9295637390957019,0,0,16
passive_control,4105,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.110141443232729,0,0.9037668550207559,0,0,31
passive_control,4106,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1126137201340647,0,0.876882655986858,0,0,28
passive_control,4107,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1135797223477197,0,0.9337866842742231,0,0,25
passive_control,4108,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,0.9999999999999999,0.0,0.0,1.112769321618904,0,0.7789357043626464,0,0,31
passive_control,4109,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,0.7727272727272727,0.0,0.0,1.1055778884974135,0,0.8641456051555673,0,0,44
passive_control,4110,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1216105174694613,0,0.8997769510723911,0,0,21
passive_control,4111,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1155306928387556,0,0.944252686577282,0,0,22
passive_control,4112,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1171394179886582,0,0.8034379583815726,0,0,30
passive_control,4113,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.8571428571428571,0.0,0.0,1.1057185508922165,0,0.9361766498921045,0,0,28
passive_control,4114,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.8666666666666667,0.0,0.0,1.1051439387576691,0,0.911671459727871,0,0,30
passive_control,4115,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.118612999152095,0,0.9167045716094261,0,0,23
passive_control,4116,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1210799482269882,0,0.9104057836284298,0,0,23
passive_control,4117,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.6326530612244898,0.0,0.0,1.1123351468370446,0,0.8411050235237568,0,0,49
passive_control,4118,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.6153846153846154,0.0,0.0,1.1117741930534917,0,0.9083479498438202,0,0,26
passive_control,4119,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.2903225806451613,0.0,0.0,1.1107610778741517,0,0.9128742340644248,0,0,31
passive_control,4120,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.42857142857142855,0.0,0.0,1.1045705561226922,0,0.9054556846238937,0,0,28
passive_control,4121,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1175335805499318,0,0.8068729446988746,0,0,28
passive_control,4122,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,0.9285714285714286,0.0,0.0,1.1175023801704758,0,0.8938125040376276,0,0,28
passive_control,4123,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.4,0.0,0.0,1.1092967931530493,0,0.9241983941649973,0,0,30
passive_control,4124,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1168057652380954,0,0.8652938621858707,0,0,31
passive_control,4125,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.5714285714285714,0.0,0.0,1.107932798093007,0,0.8694798018799201,0,0,42
passive_control,4126,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1102936509574588,0,0.8222817956779748,0,0,26
passive_control,4127,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1497627488186537,0,0.9544513390126306,0,0,13
passive_control,4128,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1576201084357738,0,0.9536991826104766,0,0,11
passive_control,4129,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.121677926795446,0,0.8964628490551986,0,0,31
passive_control,4100,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.3793103448275862,0.0,0.0,1.1258620685503824,0,0.8746002796790605,0,0,29
passive_control,4101,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.5135135135135135,0.0,0.0,1.1116406857966454,0,0.8581487678259152,0,0,37
passive_control,4102,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1214490935876835,0,0.9109609610854733,0,0,33
passive_control,4103,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,-0.3103448275862069,0.0,0.0,1.1164518738098077,0,0.8386499598747754,0,0,87
passive_control,4104,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.7209302325581394,0.0,0.0,1.1188223703206328,0,0.8961883386289655,0,0,43
passive_control,4105,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1230419737652706,0,0.8692461627383447,0,0,34
passive_control,4106,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.75,0.0,0.0,1.1243540898348146,0,0.8510084116565413,0,0,32
passive_control,4107,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,1.0,0.8064516129032258,0.0,0.0,1.1218558813605162,0,0.9069151243013384,0,0,31
passive_control,4108,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.7872340425531915,0.0,0.0,1.1150455363719531,0,0.8966223127877645,0,0,47
passive_control,4109,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.6166666666666667,0.0,0.0,1.106923651784654,0,0.08354275097037259,0,0,120
passive_control,4110,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1150676572345675,0,0.9069101289335633,0,0,33
passive_control,4111,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1238709652892371,0,0.932622905241734,0,0,25
passive_control,4112,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.09090909090909091,0.0,0.0,1.1157672414055146,0,0.9006301538879938,0,0,44
passive_control,4113,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.3043478260869564,0.0,0.0,1.1097706927558708,0,0.8908620519314773,0,0,46
passive_control,4114,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.7931034482758621,0.0,0.0,1.1220420237303979,0,0.9034593293910674,0,0,29
passive_control,4115,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,1.0,0.0,0.0,1.11932666818134,0,0.8263940940917798,0,0,34
passive_control,4116,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.8823529411764706,0.0,0.0,1.1228952705850983,0,0.8861631449070728,0,0,34
passive_control,4117,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.5769230769230769,0.0,0.0,1.1273591454848106,0,0.8153583646176271,0,0,52
passive_control,4118,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.47619047619047616,0.0,0.0,1.1135168131835527,0,0.9037402472318835,0,0,42
passive_control,4119,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,-0.21428571428571427,0.0,0.0,1.1081695427125715,0,0.888265266364047,0,0,56
passive_control,4120,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,1.0,0.0,0.0,1.114344751112096,0,0.8491621517111776,0,0,42
passive_control,4121,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.7368421052631579,0.0,0.0,1.1240024357384488,0,0.8849354298012222,0,0,38
passive_control,4122,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.3181818181818182,0.0,0.0,1.1151776039956074,0,0.8510065648981098,0,0,44
passive_control,4123,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.16279069767441862,0.0,0.0,1.1110634250089126,0,0.937010797232673,0,0,43
passive_control,4124,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.23076923076923078,0.0,0.0,1.1148287112763173,0,0.9164232967248455,0,0,52
passive_control,4125,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.4915254237288136,0.0,0.0,1.11716698816675,0,0.851498686390468,0,0,59
passive_control,4126,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.7,0.0,0.0,1.1147034689476438,0,0.8815953609319657,0,0,40
passive_control,4127,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.68,0.0,0.0,1.1230119980892743,0,0.9344073237750606,0,0,25
passive_control,4128,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.2727272727272727,0.0,0.0,1.1105888171457203,0,0.8974602062235876,0,0,33
passive_control,4129,heldout,r02,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,-1.0,0.14754098360655737,0.0,0.0,1.1130844693307673,0,0.8971385170468887,0,0,61
passive_control,4100,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.06666666666666667,0.0,0.0,1.1215564846194785,0,0.886370136008891,0,0,60
passive_control,4101,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.24,0.0,0.0,1.119489585130128,0,0.8997113047658724,0,0,50
passive_control,4102,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.044776119402985086,0.0,0.0,1.1167415426916412,0,0.909980149004999,0,0,67
passive_control,4103,heldout,r03,0.375,0.0,0.0,0.0,0.0,1,0,-1.0,-0.5333333333333333,0.0,0.0,1.11665105088078,0,0.3266902612505799,0,0,120
passive_control,4104,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,-0.22105263157894736,0.0,0.0,1.1211894697747937,0,0.834977402151351,0,0,95
passive_control,4105,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.05263157894736842,0.0,0.0,1.1168592979057061,0,0.8638914844048097,0,0,76
passive_control,4106,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.08196721311475409,0.0,0.0,1.1203522156567227,0,0.8851106292241607,0,0,61
passive_control,4107,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.13333333333333333,0.0,0.0,1.116347099889942,0,0.9200379969340649,0,0,60
passive_control,4108,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.25,0.0,0.0,1.118736316221311,0,0.7877681127314476,0,0,96
passive_control,4109,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.4444444444444444,0.0,0.0,1.1211222833864882,0,0.824471293662058,0,0,90
passive_control,4110,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.14814814814814814,0.0,0.0,1.1200114083702062,0,0.8800072295221444,0,0,54
passive_control,4111,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.6595744680851063,0.0,0.0,1.1191087566782814,0,0.8991841171324407,0,0,47
passive_control,4112,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,1.0,-0.18333333333333332,0.0,0.0,1.1219952762301149,0,0.3269383463201203,0,0,120
passive_control,4113,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,0.9999999999999998,-0.16666666666666666,0.0,0.0,1.1152851162250892,0,0.09411852335374656,0,0,120
passive_control,4114,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.48717948717948717,0.0,0.0,1.1303375447708994,0,0.8975186139671192,0,0,39
passive_control,4115,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.39622641509433965,0.0,0.0,1.1233806089255816,0,0.8812993232510625,0,0,53
passive_control,4116,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,-0.12195121951219512,0.0,0.0,1.1167338033562344,0,0.8833695049431682,0,0,82
passive_control,4117,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,-0.1743119266055046,0.0,0.0,1.1190259989255449,0,0.8710264554417279,0,0,109
passive_control,4118,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.23076923076923078,0.0,0.0,1.124557342761148,0,0.8798957952913127,0,0,65
passive_control,4119,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,-0.44,0.0,0.0,1.1170657687799177,0,0.8418060142213297,0,0,75
passive_control,4120,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.5342465753424658,0.0,0.0,1.1152489696135532,0,0.9054659435659373,0,0,73
passive_control,4121,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.225,0.0,0.0,1.1168423040878332,0,0.894028087017247,0,0,80
passive_control,4122,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,-0.18604651162790697,0.0,0.0,1.1166606238014998,0,0.8676116763141569,0,0,86
passive_control,4123,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.016393442622950824,0.0,0.0,1.118811169927162,0,0.899416674074924,0,0,61
passive_control,4124,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,-0.3617021276595745,0.0,0.0,1.1216930235952411,0,0.8609531586593306,0,0,94
passive_control,4125,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,0.16666666666666666,0.0,0.0,1.1206241788434141,0,0.18710814769834877,0,0,120
passive_control,4126,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,-0.08860759493670886,0.0,0.0,1.1150409401809835,0,0.906493687215316,0,0,79
passive_control,4127,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.22388059701492538,0.0,0.0,1.112895519908793,0,0.8924000078267911,0,0,67
passive_control,4128,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,2.3129646346357427e-18,0.0,0.0,1.118878401285091,0,0.9023412968872294,0,0,48
passive_control,4129,heldout,r03,0.375,0.0,0.0,0.0,0.0,0,1,-1.0,-0.20454545454545456,0.0,0.0,1.1184858576897037,0,0.881104788567064,0,0,88
passive_control,4100,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.4339622641509434,0.0,0.0,1.1238832443207982,0,0.8374306056867766,0,0,106
passive_control,4101,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.09278350515463915,0.0,0.0,1.1167123739631024,0,0.8875567547359559,0,0,97
passive_control,4102,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.01694915254237288,0.0,0.0,1.1215067582645137,0,0.8998379023641523,0,0,118
passive_control,4103,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.35,0.0,0.0,1.1259930536114362,0,0.15749866507715202,0,0,120
passive_control,4104,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.23333333333333328,0.0,0.0,1.120252746677449,0,0.13836051037168176,0,0,120
passive_control,4105,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,1.0,0.23333333333333334,0.0,0.0,1.1184662744334972,0,0.08638076059812452,0,0,120
passive_control,4106,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,1.0,0.2833333333333333,0.0,0.0,1.120090581479276,0,0.15147321105116748,0,0,120
passive_control,4107,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.5308641975308642,0.0,0.0,1.1268263371884686,0,0.8740411722023372,0,0,81
passive_control,4108,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,0.6333333333333333,0.0,0.0,1.121050526644948,0,0.12452884769382437,0,0,120
passive_control,4109,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.3333333333333333,0.0,0.0,1.1220372752797032,0,0.14225926694441968,0,0,120
passive_control,4110,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.05660377358490566,0.0,0.0,1.120249601128353,0,0.8623487565637594,0,0,106
passive_control,4111,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,0.3333333333333333,0.0,0.0,1.1227756441787065,0,0.9016613542560094,0,0,75
passive_control,4112,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,1.1238711071429697,0,0.14669102192492128,0,0,120
passive_control,4113,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,0.9999999999999998,-0.11666666666666664,0.0,0.0,1.1225832405412688,0,0.14985132564335504,0,0,120
passive_control,4114,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.14999999999999997,0.0,0.0,1.126653774058515,0,0.8358908565858926,0,0,80
passive_control,4115,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.1111111111111111,0.0,0.0,1.1239165083363019,0,0.88506740303468,0,0,81
passive_control,4116,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,1,0,-1.0,-0.4166666666666667,0.0,0.0,1.1194083964405366,0,0.45999194223173423,0,0,120
passive_control,4117,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,1.0,0.5166666666666667,0.0,0.0,1.1286659746183656,0,0.125390739133929,0,0,120
passive_control,4118,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.19607843137254902,0.0,0.0,1.1253226356501578,0,0.8554690202757692,0,0,102
passive_control,4119,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,1,0,-1.0,-0.7333333333333333,0.0,0.0,1.1143479565017838,0,0.3456215409115896,0,0,120
passive_control,4120,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,0.1,0.0,0.0,1.116476778195296,0,0.8676249699975817,0,0,120
passive_control,4121,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,0.9999999999999999,0.65,0.0,0.0,1.124837325595781,0,0.15557629101368192,0,0,120
passive_control,4122,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,1,0,-1.0,-0.16666666666666666,0.0,0.0,1.1211417723349824,0,0.3641316932992689,0,0,120
passive_control,4123,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.2558139534883721,0.0,0.0,1.1243287219476217,0,0.8743542159999568,0,0,86
passive_control,4124,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.05,0.0,0.0,1.1257330186748704,0,0.25646212640866667,0,0,120
passive_control,4125,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,0.16666666666666666,0.0,0.0,1.1257629593736775,0,0.23691542226352363,0,0,120
passive_control,4126,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,1,0,-1.0,0.016666666666666666,0.0,0.0,1.1175790743251435,0,0.8023971798755704,0,0,120
passive_control,4127,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.5333333333333333,0.0,0.0,1.1173227407971373,0,0.8232982670999845,0,0,120
passive_control,4128,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-1.0,-0.6166666666666667,0.0,0.0,1.1138780489159155,0,0.8907520143695713,0,0,120
passive_control,4129,heldout,r04,0.5714285714285714,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.4,0.0,0.0,1.126187686346905,0,0.1401031699355295,0,0,120
passive_control,4100,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,-0.1,0.0,0.0,1.1263611145789123,0,0.3395069340225898,0,0,120
passive_control,4101,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,-0.049999999999999996,0.0,0.0,1.1254019862667812,0,0.2029991940663281,0,0,120
passive_control,4102,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,1.0,-0.03333333333333333,0.0,0.0,1.125072648006963,0,0.1487746911053805,0,0,120
passive_control,4103,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-0.9999999999999999,-0.6,0.0,0.0,1.1245431245364168,0,0.20411260515582721,0,0,120
passive_control,4104,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,0.6666666666666666,0.0,0.0,1.1281671162480884,0,0.09680372397680609,0,0,120
passive_control,4105,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,0.18333333333333332,0.0,0.0,1.1221162568932899,0,0.1396924719152989,0,0,120
passive_control,4106,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,0.5666666666666667,0.0,0.0,1.1285285641680813,0,0.32120186202474926,0,0,120
passive_control,4107,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,1,0,-1.0,-0.016666666666666666,0.0,0.0,1.124135320523302,0,0.4609196625705376,0,0,120
passive_control,4108,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,1.1092682728636518,1,0.055323283032881275,0,0,60
passive_control,4109,heldout,r05,0.8333333333333334,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.43333333333333335,0.0,0.0,1.1315936456515308,0,0.2280149586156258,0,0,120
