world,welfare_floor,exploit_ceiling,permanence_requirement,response_div_floor,classification
W6_mutation_corridor,0.5,0.35,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.5,0.35,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.5,0.35,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.5,0.35,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.5,0.35,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.5,0.35,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.5,0.4,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.5,0.4,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.5,0.4,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.5,0.4,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.5,0.4,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.5,0.4,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.5,0.45,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.5,0.45,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.5,0.45,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.5,0.45,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.5,0.45,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.5,0.45,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.55,0.35,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.55,0.35,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.55,0.35,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.55,0.35,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.55,0.35,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.55,0.35,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.55,0.4,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.55,0.4,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.55,0.4,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.55,0.4,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.55,0.4,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.55,0.4,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.55,0.45,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.55,0.45,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.55,0.45,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.55,0.45,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.55,0.45,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.55,0.45,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.6,0.35,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.6,0.35,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.6,0.35,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.6,0.35,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.6,0.35,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.6,0.35,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.6,0.4,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.6,0.4,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.6,0.4,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.6,0.4,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.6,0.4,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.6,0.4,1.0,0.4,Type AC+CG
W6_mutation_corridor,0.6,0.45,0.9,0.3,Type AC+CG
W6_mutation_corridor,0.6,0.45,0.9,0.35,Type AC+CG
W6_mutation_corridor,0.6,0.45,0.9,0.4,Type AC+CG
W6_mutation_corridor,0.6,0.45,1.0,0.3,Type AC+CG
W6_mutation_corridor,0.6,0.45,1.0,0.35,Type AC+CG
W6_mutation_corridor,0.6,0.45,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.35,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.35,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.35,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.35,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.35,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.35,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.4,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.4,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.4,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.4,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.4,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.4,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.45,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.45,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.45,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.45,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.45,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.5,0.45,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.35,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.35,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.35,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.35,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.35,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.35,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.4,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.4,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.4,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.4,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.4,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.4,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.45,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.45,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.45,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.45,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.45,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.55,0.45,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.35,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.35,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.35,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.35,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.35,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.35,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.4,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.4,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.4,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.4,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.4,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.4,1.0,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.45,0.9,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.45,0.9,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.45,0.9,0.4,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.45,1.0,0.3,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.45,1.0,0.35,Type AC+CG
W3_catastrophe_ambiguity,0.6,0.45,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.5,0.35,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.5,0.35,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.5,0.35,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.5,0.35,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.5,0.35,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.5,0.35,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.5,0.4,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.5,0.4,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.5,0.4,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.5,0.4,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.5,0.4,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.5,0.4,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.5,0.45,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.5,0.45,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.5,0.45,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.5,0.45,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.5,0.45,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.5,0.45,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.55,0.35,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.55,0.35,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.55,0.35,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.55,0.35,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.55,0.35,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.55,0.35,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.55,0.4,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.55,0.4,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.55,0.4,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.55,0.4,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.55,0.4,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.55,0.4,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.55,0.45,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.55,0.45,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.55,0.45,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.55,0.45,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.55,0.45,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.55,0.45,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.6,0.35,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.6,0.35,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.6,0.35,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.6,0.35,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.6,0.35,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.6,0.35,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.6,0.4,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.6,0.4,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.6,0.4,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.6,0.4,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.6,0.4,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.6,0.4,1.0,0.4,Type AC+CG
W4_scavenger_catastrophe,0.6,0.45,0.9,0.3,Type AC+CG
W4_scavenger_catastrophe,0.6,0.45,0.9,0.35,Type AC+CG
W4_scavenger_catastrophe,0.6,0.45,0.9,0.4,Type AC+CG
W4_scavenger_catastrophe,0.6,0.45,1.0,0.3,Type AC+CG
W4_scavenger_catastrophe,0.6,0.45,1.0,0.35,Type AC+CG
W4_scavenger_catastrophe,0.6,0.45,1.0,0.4,Type AC+CG
W2_pure_capture,0.5,0.35,0.9,0.3,Type None
W2_pure_capture,0.5,0.35,0.9,0.35,Type None
W2_pure_capture,0.5,0.35,0.9,0.4,Type None
W2_pure_capture,0.5,0.35,1.0,0.3,Type None
W2_pure_capture,0.5,0.35,1.0,0.35,Type None
W2_pure_capture,0.5,0.35,1.0,0.4,Type None
W2_pure_capture,0.5,0.4,0.9,0.3,Type None
W2_pure_capture,0.5,0.4,0.9,0.35,Type None
W2_pure_capture,0.5,0.4,0.9,0.4,Type None
W2_pure_capture,0.5,0.4,1.0,0.3,Type None
W2_pure_capture,0.5,0.4,1.0,0.35,Type None
W2_pure_capture,0.5,0.4,1.0,0.4,Type None
W2_pure_capture,0.5,0.45,0.9,0.3,Type None
W2_pure_capture,0.5,0.45,0.9,0.35,Type None
W2_pure_capture,0.5,0.45,0.9,0.4,Type None
W2_pure_capture,0.5,0.45,1.0,0.3,Type None
W2_pure_capture,0.5,0.45,1.0,0.35,Type None
W2_pure_capture,0.5,0.45,1.0,0.4,Type None
W2_pure_capture,0.55,0.35,0.9,0.3,Type None
W2_pure_capture,0.55,0.35,0.9,0.35,Type None
W2_pure_capture,0.55,0.35,0.9,0.4,Type None
W2_pure_capture,0.55,0.35,1.0,0.3,Type None
W2_pure_capture,0.55,0.35,1.0,0.35,Type None
W2_pure_capture,0.55,0.35,1.0,0.4,Type None
W2_pure_capture,0.55,0.4,0.9,0.3,Type None
W2_pure_capture,0.55,0.4,0.9,0.35,Type None
W2_pure_capture,0.55,0.4,0.9,0.4,Type None
W2_pure_capture,0.55,0.4,1.0,0.3,Type None
W2_pure_capture,0.55,0.4,1.0,0.35,Type None
W2_pure_capture,0.55,0.4,1.0,0.4,Type None
W2_pure_capture,0.55,0.45,0.9,0.3,Type None
W2_pure_capture,0.55,0.45,0.9,0.35,Type None
W2_pure_capture,0.55,0.45,0.9,0.4,Type None
W2_pure_capture,0.55,0.45,1.0,0.3,Type None
W2_pure_capture,0.55,0.45,1.0,0.35,Type None
W2_pure_capture,0.55,0.45,1.0,0.4,Type None
W2_pure_capture,0.6,0.35,0.9,0.3,Type None
W2_pure_capture,0.6,0.35,0.9,0.35,Type None
W2_pure_capture,0.6,0.35,0.9,0.4,Type None
W2_pure_capture,0.6,0.35,1.0,0.3,Type None
W2_pure_capture,0.6,0.35,1.0,0.35,Type None
W2_pure_capture,0.6,0.35,1.0,0.4,Type None
W2_pure_capture,0.6,0.4,0.9,0.3,Type None
W2_pure_capture,0.6,0.4,0.9,0.35,Type None
W2_pure_capture,0.6,0.4,0.9,0.4,Type None
W2_pure_capture,0.6,0.4,1.0,0.3,Type None
W2_pure_capture,0.6,0.4,1.0,0.35,Type None
W2_pure_capture,0.6,0.4,1.0,0.4,Type None
W2_pure_capture,0.6,0.45,0.9,0.3,Type None
W2_pure_capture,0.6,0.45,0.9,0.35,Type None
W2_pure_capture,0.6,0.45,0.9,0.4,Type None
W2_pure_capture,0.6,0.45,1.0,0.3,Type None
W2_pure_capture,0.6,0.45,1.0,0.35,Type None
W2_pure_capture,0.6,0.45,1.0,0.4,Type None
W5_monoculture_shock,0.5,0.35,0.9,0.3,Type None
W5_monoculture_shock,0.5,0.35,0.9,0.35,Type None
W5_monoculture_shock,0.5,0.35,0.9,0.4,Type None
W5_monoculture_shock,0.5,0.35,1.0,0.3,Type None
W5_monoculture_shock,0.5,0.35,1.0,0.35,Type None
W5_monoculture_shock,0.5,0.35,1.0,0.4,Type None
W5_monoculture_shock,0.5,0.4,0.9,0.3,Type None
W5_monoculture_shock,0.5,0.4,0.9,0.35,Type None
W5_monoculture_shock,0.5,0.4,0.9,0.4,Type None
W5_monoculture_shock,0.5,0.4,1.0,0.3,Type None
W5_monoculture_shock,0.5,0.4,1.0,0.35,Type None
W5_monoculture_shock,0.5,0.4,1.0,0.4,Type None
W5_monoculture_shock,0.5,0.45,0.9,0.3,Type None
W5_monoculture_shock,0.5,0.45,0.9,0.35,Type None
W5_monoculture_shock,0.5,0.45,0.9,0.4,Type None
W5_monoculture_shock,0.5,0.45,1.0,0.3,Type None
W5_monoculture_shock,0.5,0.45,1.0,0.35,Type None
W5_monoculture_shock,0.5,0.45,1.0,0.4,Type None
W5_monoculture_shock,0.55,0.35,0.9,0.3,Type None
W5_monoculture_shock,0.55,0.35,0.9,0.35,Type None
W5_monoculture_shock,0.55,0.35,0.9,0.4,Type None
W5_monoculture_shock,0.55,0.35,1.0,0.3,Type None
W5_monoculture_shock,0.55,0.35,1.0,0.35,Type None
W5_monoculture_shock,0.55,0.35,1.0,0.4,Type None
W5_monoculture_shock,0.55,0.4,0.9,0.3,Type None
W5_monoculture_shock,0.55,0.4,0.9,0.35,Type None
W5_monoculture_shock,0.55,0.4,0.9,0.4,Type None
W5_monoculture_shock,0.55,0.4,1.0,0.3,Type None
W5_monoculture_shock,0.55,0.4,1.0,0.35,Type None
W5_monoculture_shock,0.55,0.4,1.0,0.4,Type None
W5_monoculture_shock,0.55,0.45,0.9,0.3,Type None
W5_monoculture_shock,0.55,0.45,0.9,0.35,Type None
W5_monoculture_shock,0.55,0.45,0.9,0.4,Type None
W5_monoculture_shock,0.55,0.45,1.0,0.3,Type None
W5_monoculture_shock,0.55,0.45,1.0,0.35,Type None
W5_monoculture_shock,0.55,0.45,1.0,0.4,Type None
W5_monoculture_shock,0.6,0.35,0.9,0.3,Type None
W5_monoculture_shock,0.6,0.35,0.9,0.35,Type None
W5_monoculture_shock,0.6,0.35,0.9,0.4,Type None
W5_monoculture_shock,0.6,0.35,1.0,0.3,Type None
W5_monoculture_shock,0.6,0.35,1.0,0.35,Type None
W5_monoculture_shock,0.6,0.35,1.0,0.4,Type None
W5_monoculture_shock,0.6,0.4,0.9,0.3,Type None
W5_monoculture_shock,0.6,0.4,0.9,0.35,Type None
W5_monoculture_shock,0.6,0.4,0.9,0.4,Type None
W5_monoculture_shock,0.6,0.4,1.0,0.3,Type None
W5_monoculture_shock,0.6,0.4,1.0,0.35,Type None
W5_monoculture_shock,0.6,0.4,1.0,0.4,Type None
W5_monoculture_shock,0.6,0.45,0.9,0.3,Type None
W5_monoculture_shock,0.6,0.45,0.9,0.35,Type None
W5_monoculture_shock,0.6,0.45,0.9,0.4,Type None
W5_monoculture_shock,0.6,0.45,1.0,0.3,Type None
W5_monoculture_shock,0.6,0.45,1.0,0.35,Type None
W5_monoculture_shock,0.6,0.45,1.0,0.4,Type None
